Time(s),Voltage(mV),Current(mA),solar,Temp(C)
8926,11547.5,0.0,60,9.51
8932,11545.0,0.0,59,9.51
8937,11540.0,0.0,59,9.35
8943,11538.75,2.5,59,9.35
8948,11535.0,0.0,59,9.19
8954,11527.5,1.25,59,9.19
8959,11526.25,-1.25,59,9.19
8965,11521.25,0.0,59,9.19
8970,11517.5,0.0,59,9.19
8975,11513.75,-1.25,59,9.19
8981,11510.0,0.0,59,9.19
8987,11508.75,0.0,59,9.19
8992,11506.25,1.25,59,9.19
8997,11505.0,0.0,59,9.19
9003,11505.0,0.0,59,9.35
9008,11505.0,0.0,59,9.35
9014,11503.75,0.0,59,9.35
9020,11503.75,0.0,59,9.35
9026,11505.0,0.0,58,9.35
9031,11505.0,1.25,58,9.35
9037,11503.75,0.0,58,9.51
9042,11505.0,0.0,58,9.51
9048,11505.0,-1.25,58,9.51
9053,11505.0,-1.25,58,9.51
9059,11505.0,-1.25,58,9.51
9064,11510.0,1.25,58,9.35
9070,11508.75,0.0,58,9.35
9075,11511.25,0.0,58,9.19
9080,11512.5,0.0,58,9.02
9086,11511.25,0.0,58,9.02
9091,11510.0,0.0,58,9.02
9097,11508.75,-1.25,58,9.19
9102,11506.25,0.0,58,9.02
9108,11506.25,-1.25,58,9.02
9113,11502.5,1.25,58,9.02
9119,11498.75,-1.25,58,9.19
9124,11496.25,0.0,58,9.19
9130,11495.0,0.0,58,9.19
9135,11492.5,0.0,58,9.02
9140,11490.0,1.25,58,9.02
9146,11483.75,0.0,58,9.02
9151,11476.25,0.0,58,9.02
9157,11470.0,1.25,58,9.02
9162,11468.75,-1.25,58,9.02
9168,11462.5,0.0,58,9.02
9173,11455.0,0.0,58,9.02
9179,11448.75,-1.25,58,8.86
9184,11442.5,0.0,58,8.86
9190,11435.0,1.25,58,8.86
9195,11427.5,0.0,58,9.02
9200,11422.5,0.0,58,9.02
9206,11416.25,0.0,58,9.02
9211,11407.5,1.25,58,9.02
9217,11402.5,-1.25,58,9.02
9222,11395.0,-1.25,58,8.86
9228,11385.0,-1.25,58,8.86
9233,11376.25,0.0,58,8.86
9239,11366.25,0.0,57,8.86
9244,11355.0,1.25,57,8.86
9250,11343.75,0.0,57,9.02
9255,11331.25,-1.25,57,9.02
9261,11320.0,0.0,57,9.02
9266,11311.25,0.0,57,8.86
9271,11298.75,1.25,57,8.86
9277,11285.0,-1.25,57,8.86
9282,11271.25,0.0,57,8.86
9288,11258.75,-1.25,57,8.86
9293,11245.0,0.0,56,8.86
9299,11230.0,0.0,56,8.86
9304,11215.0,0.0,56,8.86
9310,11202.5,1.25,56,8.7
9315,11186.25,1.25,56,8.7
9321,11171.25,1.25,56,8.7
9326,11155.0,0.0,56,8.54
9331,11140.0,0.0,55,8.54
9337,11125.0,0.0,55,8.54
9342,11111.25,-1.25,55,8.54
9348,11095.0,0.0,55,8.54
9353,11080.0,-1.25,55,8.54
9359,11061.25,0.0,54,8.7
9364,11046.25,0.0,54,8.7
9370,11028.75,0.0,54,8.7
9375,11011.25,1.25,54,8.86
9381,10995.0,1.25,54,8.86
9386,10977.5,-1.25,53,8.86
9392,10962.5,-1.25,53,8.7
9397,10945.0,0.0,53,8.7
9402,10927.5,1.25,53,8.7
9408,10912.5,-1.25,53,8.7
9414,10895.0,1.25,52,8.7
9419,10877.5,1.25,52,8.54
9424,10862.5,0.0,52,8.54
9430,10843.75,1.25,52,8.54
9435,10825.0,0.0,52,8.54
9441,10808.75,0.0,51,8.54
9446,10793.75,-1.25,51,8.54
9453,10773.75,-1.25,51,8.54
9458,10758.75,0.0,51,8.54
9464,10742.5,0.0,50,8.54
9469,10727.5,0.0,50,8.54
9475,10710.0,-1.25,50,8.54
9480,10692.5,-1.25,50,8.7
9485,10677.5,0.0,50,8.7
9491,10663.75,1.25,49,8.7
9496,10648.75,0.0,49,8.7
9502,10632.5,-2.5,49,8.7
9507,10616.25,1.25,49,8.7
9513,10602.5,0.0,49,8.86
9518,10588.75,0.0,48,8.86
9524,10575.0,-1.25,48,8.86
9529,10561.25,-1.25,48,8.86
9535,10548.75,-1.25,48,8.86
9540,10535.0,-1.25,48,8.86
9546,10517.5,0.0,48,8.86
9551,10510.0,0.0,48,8.86
9557,10497.5,-1.25,47,8.86
9562,10486.25,1.25,47,8.86
9567,10472.5,0.0,47,8.86
9573,10460.0,0.0,47,8.86
9578,10448.75,0.0,47,8.86
9584,10436.25,1.25,47,8.7
9589,10423.75,0.0,47,8.7
9595,10411.25,0.0,47,8.7
9600,10396.25,0.0,46,8.54
9606,10383.75,1.25,46,8.54
9611,10368.75,1.25,46,8.54
9617,10356.25,0.0,46,8.7
9622,10341.25,1.25,46,8.7
9628,10330.0,0.0,46,8.54
9633,10317.5,0.0,46,8.54
9639,10303.75,0.0,46,8.54
9644,10290.0,0.0,46,8.54
9649,10276.25,0.0,46,8.54
9655,10261.25,0.0,45,8.38
9660,10247.5,-1.25,45,8.38
9666,10232.5,-1.25,45,8.38
9671,10220.0,0.0,45,8.38
9677,10206.25,0.0,45,8.38
9682,10193.75,-1.25,45,8.38
9688,10180.0,1.25,45,8.38
9693,10166.25,0.0,45,8.38
9699,10152.5,-1.25,45,8.38
9704,10142.5,-1.25,45,8.23
9710,10127.5,0.0,45,8.23
9715,10113.75,2.5,44,8.38
9721,10101.25,0.0,44,8.38
9726,10088.75,0.0,44,8.38
9732,10078.75,-1.25,44,8.38
9737,10066.25,0.0,44,8.38
9742,10052.5,0.0,44,8.38
9748,10042.5,-1.25,44,8.38
9753,10031.25,0.0,44,8.38
9759,10021.25,0.0,44,8.38
9764,10011.25,0.0,44,8.54
9770,10001.25,-1.25,44,8.54
9775,9990.0,1.25,44,8.38
9781,9982.5,0.0,44,8.54
9786,9973.75,0.0,44,8.38
9792,9966.25,0.0,44,8.38
9797,9958.75,-1.25,44,8.38
9803,9950.0,0.0,44,8.23
9808,9941.25,0.0,44,8.38
9814,9933.75,0.0,43,8.38
9819,9925.0,0.0,43,8.23
9825,9916.25,0.0,43,8.38
9830,9907.5,0.0,43,8.38
9836,9898.75,0.0,43,8.38
9841,9892.5,1.25,43,8.38
9847,9882.5,0.0,43,8.38
9852,9875.0,0.0,43,8.54
9859,9867.5,0.0,43,8.54
9864,9860.0,0.0,43,8.54
9870,9851.25,-1.25,43,8.38
9875,9845.0,0.0,43,8.38
9880,9837.5,1.25,43,8.38
9886,9831.25,1.25,43,8.23
9891,9823.75,0.0,43,8.23
9897,9816.25,1.25,43,8.07
9902,9810.0,1.25,43,8.07
9908,9801.25,0.0,43,8.07
9913,9793.75,0.0,43,8.07
9919,9787.5,1.25,43,8.07
9924,9778.75,0.0,43,8.07
9930,9770.0,1.25,43,8.23
9935,9761.25,0.0,43,8.23
9941,9751.25,0.0,43,8.23
9946,9743.75,0.0,43,8.23
9952,9732.5,1.25,43,8.23
9957,9722.5,0.0,43,8.23
9963,9711.25,1.25,43,8.23
9968,9700.0,0.0,43,8.23
9974,9688.75,-1.25,42,8.07
9979,9673.75,0.0,42,8.23
9985,9660.0,0.0,42,8.23
9990,9645.0,0.0,42,8.23
9996,9630.0,-1.25,42,8.23
