14,19491.25,1.25,157,5.53
9,19782.50,2.50,177,5.53

19,19910.00,2.50,185,5.53
24,18486.25,2.50,184,5.38
30,18726.25,1.25,162,5.53
35,19133.75,2.50,184,5.53
40,18865.00,1.25,201,5.38
45,18762.50,3.75,202,5.24
50,19896.25,1.25,196,5.24
55,17196.25,2.50,191,5.24
60,18255.00,1.25,246,5.24
66,17607.50,2.50,239,5.67
71,16448.75,1.25,195,5.82
76,12522.50,1.25,32,5.67
81,19160.00,2.50,30,5.53
86,13831.25,0.00,33,5.38
91,19303.75,1.25,34,5.38
97,19801.25,3.75,296,5.24

107,16141.25,1.25,239,5.10
112,15242.50,1.25,139,5.10
117,16283.75,0.00,366,5.10
122,16300.00,1.25,375,5.24
128,20576.25,2.50,334,5.24
133,19606.25,3.75,264,5.24
138,19715.00,3.75,215,5.10
143,20097.50,2.50,38,5.10
148,15757.50,1.25,245,5.10
153,19576.25,3.75,217,5.10
159,19818.75,2.50,293,4.96
164,19678.75,5.00,328,4.96
169,15622.50,1.25,300,4.96
174,16298.75,0.00,140,4.82
179,17680.00,3.75,159,4.68
184,18562.50,2.50,181,4.68
189,15756.25,1.25,74,4.82
195,16498.75,1.25,46,5.82
200,16102.50,1.25,47,5.82
205,15616.25,1.25,48,5.53
210,15890.00,1.25,49,5.10
215,16007.50,2.50,52,5.10
220,14705.00,1.25,48,5.24
226,14890.00,2.50,47,5.53
231,14933.75,2.50,48,5.82
236,14818.75,1.25,57,5.82
241,14955.00,1.25,50,6.11
246,14393.75,1.25,57,6.11
251,13703.75,1.25,42,5.67
257,13693.75,2.50,38,5.53
262,13490.00,0.00,44,6.11
267,12916.25,2.50,37,6.11
272,12893.75,1.25,32,5.67
277,11515.00,1.25,33,5.53
282,13361.25,0.00,30,5.53
288,12310.00,1.25,33,5.53
293,15570.00,1.25,31,5.53
298,14062.50,1.25,43,5.53
303,14850.00,1.25,40,5.67
308,11963.75,0.00,29,5.96
313,13598.75,1.25,30,5.67
319,12628.75,1.25,39,5.82
324,12116.25,1.25,37,6.25
329,13108.75,1.25,41,5.96
334,14153.75,1.25,39,5.67
339,14443.75,2.50,42,5.38
344,14712.50,2.50,43,5.38
350,13445.00,1.25,42,5.82
355,14190.00,0.00,42,5.96
360,15080.00,2.50,46,5.53
365,13460.00,1.25,49,5.38
370,13565.00,1.25,49,5.53
375,14350.00,2.50,47,5.38
381,14596.25,1.25,53,5.38
386,14748.75,1.25,49,5.38
391,14657.50,3.75,50,5.38
396,15168.75,0.00,51,5.38
401,14915.00,0.00,57,5.53
406,16302.50,1.25,38,5.53
412,18487.50,2.50,29,5.53
417,16062.50,1.25,215,5.53
422,17563.75,3.75,37,5.67
427,14467.50,2.50,53,5.82
432,14983.75,1.25,58,5.96
438,14780.00,0.00,50,6.25
443,14506.25,0.00,48,6.85
448,14197.50,2.50,50,7.30
453,13883.75,1.25,49,7.76
458,13082.50,2.50,43,7.15
463,14165.00,1.25,43,7.00
469,14222.50,1.25,46,7.00
474,13266.25,1.25,48,7.30
479,13276.25,1.25,32,7.00
484,12141.25,0.00,35,6.55
489,15390.00,1.25,34,6.11
494,14390.00,1.25,24,5.96
500,14790.00,1.25,25,5.82
505,14461.25,1.25,28,5.82
510,13997.50,1.25,28,5.82
515,12820.00,2.50,25,5.67
520,13797.50,1.25,19,5.67
525,16301.25,0.00,45,5.67
531,17796.25,1.25,59,5.67
536,20930.00,1.25,33,5.82
541,9851.25,2.50,6,5.82
546,10747.50,0.00,22,5.67
551,12293.75,-1.25,45,5.53
556,11416.25,1.25,49,5.53
562,9691.25,0.00,35,5.53
567,11620.00,0.00,31,5.53
572,13442.50,0.00,28,5.53
577,15505.00,2.50,52,5.82
582,15231.25,2.50,47,5.96
588,17120.00,2.50,45,5.96
593,15965.00,2.50,53,5.96
598,14468.75,1.25,49,5.96
603,15062.50,1.25,51,5.96
608,17478.75,1.25,686,7.00
613,17677.50,2.50,661,7.76
619,18043.75,1.25,677,8.23
624,17991.25,3.75,708,8.23
629,15610.00,0.00,64,7.76
634,15783.75,2.50,702,8.07
639,14770.00,2.50,126,7.60
645,20695.00,2.50,356,6.85
650,17971.25,3.75,55,6.25
655,19915.00,3.75,47,6.25
660,20350.00,2.50,50,6.11
665,16418.75,1.25,276,7.15
670,19751.25,3.75,191,7.00
676,19582.50,2.50,404,7.15
681,14451.25,2.50,35,6.85
686,16352.50,1.25,33,6.11
691,14785.00,2.50,35,5.67
696,19376.25,3.75,35,5.67
701,19202.50,1.25,174,6.55
707,16876.25,1.25,230,6.55
712,16438.75,1.25,39,6.40
717,15622.50,1.25,36,5.96
722,14963.75,1.25,35,5.67
727,19893.75,1.25,32,5.53
733,19913.75,1.25,228,5.67
