Flight Information:
Launch Date:            	     	                        	Saturday, 13 November 2021	     	                   	           	Launch Time: 	       	            	17:35:41  	       	     	End of Ascent:	     	         	01:22:17
Station name:           	     	                        	ECLIPSE 2020              	     	                   	           	Serialnumber:	       	            	20027744
Ground values:
Pressure:               	     	                        	969.0 hPa                 	     	                   	           	Temperature: 	       	            	4.0 °C    	       	     	Humidity:     	     	         	83 %
Wind Direction:         	     	                        	0 °                       	     	                   	           	Wind Speed:  	       	            	0 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                        	-119.285 °                	     	                   	           	Latitude:    	       	            	47.612 °  	       	     	Altitude:     	     	         	486 m
Staff:
Company:                	     	                        	
Operator:               	     	                        	                          	     	                   	           	
Events:
Highest Point:          	     	                        	33.3 hPa                  	     	                   	           	23192 m
Tropopauses:            	     	                        	1.: 191.7 hPa             	     	                   	           	             	       	            	
Max Winds:              	     	                        	1.: 210.5 hPa             	     	                   	           	             	       	            	
Remarks:

Profile Data:
Time                    	P    	T                       	Hu                        	Ws   	Wd                 	Long.      	Lat.         	Alt    	Geopot      	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                    	[%]                       	[m/s]	[°]                	[°]        	[°]          	[m]    	[m]         	          	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	969.0	4.0                     	83                        	0.0  	000                	-119.284950	47.612065    	486    	486         	351.583   	275.343	1.4  	4.7           	0.0  	47.6     	360     	1      	1.218224
1                       	968.9	4.1                     	83                        	0.0  	224                	-119.284951	47.612063    	486    	486         	351.530   	275.212	1.6  	4.9           	0.5  	74.1     	330     	1      	1.217553
2                       	968.9	4.3                     	84                        	0.0  	224                	-119.284953	47.612062    	487    	487         	351.461   	275.081	1.8  	5.0           	0.5  	78.3     	286     	1      	1.216883
3                       	968.8	4.4                     	84                        	0.0  	224                	-119.284955	47.612061    	487    	487         	351.409   	274.950	2.0  	5.2           	0.5  	77.6     	259     	2      	1.216214
4                       	968.8	4.5                     	85                        	0.0  	224                	-119.284956	47.612059    	488    	488         	351.356   	274.819	2.2  	5.3           	0.5  	76.2     	247     	2      	1.215546
5                       	968.7	4.7                     	85                        	0.0  	224                	-119.284958	47.612058    	488    	488         	351.288   	274.688	2.4  	5.5           	0.5  	74.5     	240     	3      	1.214878
6                       	968.7	4.8                     	86                        	0.0  	224                	-119.284960	47.612057    	488    	488         	351.236   	274.557	2.6  	5.6           	0.5  	73.6     	236     	3      	1.214211
7                       	968.6	4.9                     	86                        	0.0  	224                	-119.284962	47.612055    	489    	489         	351.248   	274.491	2.8  	5.7           	0.5  	73.0     	233     	4      	1.213827
8                       	968.6	4.9                     	86                        	0.0  	224                	-119.284963	47.612054    	489    	489         	351.253   	274.433	2.8  	5.7           	0.5  	72.1     	232     	4      	1.213583
9                       	968.5	5.0                     	86                        	0.0  	224                	-119.284965	47.612052    	490    	490         	351.274   	274.376	2.8  	5.8           	0.5  	71.7     	230     	5      	1.213339
10                      	968.4	5.0                     	86                        	0.0  	224                	-119.284967	47.612051    	490    	490         	351.295   	274.318	2.9  	5.8           	0.5  	71.4     	229     	5      	1.213096
11                      	968.4	5.1                     	86                        	0.0  	224                	-119.284969	47.612050    	491    	491         	351.301   	274.261	2.9  	5.9           	0.5  	70.8     	228     	6      	1.212852
12                      	968.3	5.1                     	86                        	0.0  	224                	-119.284970	47.612048    	491    	491         	351.322   	274.203	2.9  	5.9           	0.5  	70.6     	228     	6      	1.212609
13                      	968.3	5.1                     	86                        	0.0  	224                	-119.284972	47.612047    	492    	492         	351.354   	274.157	3.0  	6.0           	0.5  	70.4     	227     	7      	1.212417
14                      	968.3	5.2                     	86                        	0.0  	224                	-119.284974	47.612046    	492    	492         	351.371   	274.111	3.0  	6.0           	0.5  	70.0     	227     	7      	1.212226
15                      	968.3	5.2                     	86                        	0.0  	224                	-119.284974	47.612045    	493    	493         	351.404   	274.066	3.0  	6.0           	0.5  	70.8     	226     	8      	1.212035
16                      	968.3	5.3                     	86                        	0.0  	224                	-119.284973	47.612045    	492    	492         	351.327   	274.020	3.1  	6.1           	-0.2 	70.7     	225     	8      	1.211843
17                      	968.3	5.3                     	86                        	0.0  	224                	-119.284972	47.612045    	492    	492         	351.234   	273.974	3.1  	6.1           	-0.2 	70.3     	224     	7      	1.211652
18                      	968.2	5.3                     	86                        	0.0  	224                	-119.284971	47.612045    	492    	492         	351.156   	273.928	3.1  	6.2           	-0.2 	70.2     	223     	7      	1.211461
19                      	968.3	5.4                     	86                        	0.1  	224                	-119.284970	47.612045    	492    	492         	351.091   	273.894	3.2  	6.2           	-0.2 	70.1     	222     	7      	1.211323
20                      	968.3	5.4                     	86                        	0.1  	224                	-119.284969	47.612045    	491    	492         	351.028   	273.879	3.2  	6.2           	-0.2 	69.7     	220     	7      	1.211254
21                      	968.3	5.4                     	86                        	0.1  	224                	-119.284968	47.612046    	491    	491         	350.993   	273.874	3.2  	6.2           	-0.2 	69.5     	219     	6      	1.211219
22                      	968.4	5.4                     	86                        	0.1  	224                	-119.284967	47.612046    	491    	491         	350.957   	273.870	3.3  	6.3           	-0.2 	69.3     	218     	6      	1.211183
23                      	968.4	5.4                     	86                        	0.1  	224                	-119.284966	47.612046    	491    	491         	350.905   	273.865	3.3  	6.3           	-0.2 	68.7     	216     	6      	1.211147
24                      	968.4	5.5                     	86                        	0.1  	224                	-119.284965	47.612046    	491    	491         	350.869   	273.861	3.3  	6.3           	-0.2 	68.5     	215     	6      	1.211112
25                      	968.4	5.5                     	86                        	0.1  	224                	-119.284964	47.612046    	490    	490         	350.818   	273.856	3.3  	6.3           	-0.2 	67.8     	213     	5      	1.211076
26                      	968.5	5.5                     	86                        	0.1  	224                	-119.284963	47.612046    	490    	490         	350.782   	273.852	3.4  	6.3           	-0.2 	67.4     	212     	5      	1.211041
27                      	968.5	5.5                     	86                        	0.1  	224                	-119.284962	47.612046    	490    	490         	350.746   	273.847	3.4  	6.4           	-0.2 	67.0     	210     	5      	1.211005
28                      	968.5	5.5                     	86                        	0.1  	224                	-119.284962	47.612046    	490    	490         	350.694   	273.843	3.4  	6.4           	-0.2 	66.1     	208     	5      	1.210970
29                      	968.6	5.5                     	86                        	0.1  	224                	-119.284961	47.612046    	489    	489         	350.658   	273.838	3.5  	6.4           	-0.2 	65.5     	206     	5      	1.210934
30                      	968.6	5.6                     	86                        	0.1  	224                	-119.284960	47.612046    	489    	489         	350.622   	273.834	3.5  	6.4           	-0.2 	64.9     	204     	4      	1.210899
31                      	968.6	5.6                     	87                        	0.1  	224                	-119.284959	47.612046    	489    	489         	350.571   	273.829	3.5  	6.4           	-0.2 	63.6     	202     	4      	1.210863
32                      	968.6	5.6                     	87                        	0.1  	225                	-119.284958	47.612046    	489    	489         	350.535   	273.825	3.5  	6.4           	-0.2 	62.7     	200     	4      	1.210827
33                      	968.7	5.6                     	87                        	0.1  	225                	-119.284957	47.612047    	488    	488         	350.506   	273.843	3.6  	6.4           	-0.2 	61.0     	198     	4      	1.210890
34                      	968.7	5.5                     	87                        	0.1  	226                	-119.284956	47.612047    	488    	488         	350.562   	273.930	3.5  	6.4           	-0.2 	59.8     	196     	3      	1.211272
35                      	968.7	5.4                     	87                        	0.1  	226                	-119.284955	47.612047    	488    	488         	350.617   	274.017	3.4  	6.3           	-0.2 	58.4     	194     	3      	1.211655
36                      	968.8	5.3                     	87                        	0.1  	227                	-119.284954	47.612047    	488    	488         	350.658   	274.104	3.3  	6.2           	-0.2 	55.7     	191     	3      	1.212037
37                      	968.8	5.3                     	87                        	0.1  	228                	-119.284953	47.612047    	488    	488         	350.738   	274.185	3.2  	6.1           	0.0  	56.1     	189     	3      	1.212389
38                      	968.8	5.2                     	87                        	0.1  	228                	-119.284952	47.612047    	488    	488         	350.818   	274.265	3.2  	6.0           	0.0  	56.4     	186     	3      	1.212741
39                      	968.8	5.1                     	87                        	0.1  	229                	-119.284951	47.612047    	488    	488         	350.883   	274.346	3.1  	5.9           	0.0  	55.5     	184     	3      	1.213094
40                      	968.8	5.0                     	87                        	0.1  	230                	-119.284950	47.612047    	488    	488         	350.964   	274.426	3.0  	5.8           	0.0  	55.7     	181     	3      	1.213446
41                      	968.8	4.9                     	87                        	0.1  	230                	-119.284949	47.612047    	488    	488         	351.045   	274.507	2.9  	5.8           	0.0  	55.8     	178     	3      	1.213799
42                      	968.8	4.9                     	87                        	0.1  	231                	-119.284948	47.612047    	488    	488         	351.125   	274.588	2.8  	5.7           	0.0  	55.9     	176     	3      	1.214152
43                      	968.8	4.8                     	87                        	0.1  	232                	-119.284947	47.612047    	487    	488         	351.190   	274.668	2.8  	5.6           	0.0  	54.8     	173     	3      	1.214505
44                      	968.8	4.7                     	87                        	0.1  	233                	-119.284946	47.612047    	487    	488         	351.271   	274.749	2.7  	5.5           	0.0  	54.7     	170     	3      	1.214858
45                      	968.8	4.6                     	87                        	0.1  	233                	-119.284945	47.612047    	487    	487         	351.352   	274.830	2.6  	5.4           	0.0  	54.6     	168     	3      	1.215211
46                      	968.8	4.5                     	87                        	0.1  	234                	-119.284944	47.612047    	487    	487         	351.417   	274.911	2.5  	5.3           	0.0  	53.3     	166     	3      	1.215565
47                      	968.8	4.5                     	87                        	0.1  	235                	-119.284944	47.612048    	487    	487         	351.439   	274.933	2.5  	5.3           	0.0  	53.1     	164     	3      	1.215661
48                      	968.8	4.5                     	87                        	0.1  	236                	-119.284943	47.612048    	487    	487         	351.447   	274.941	2.5  	5.3           	0.0  	52.9     	162     	3      	1.215693
49                      	968.8	4.5                     	87                        	0.1  	237                	-119.284942	47.612048    	487    	487         	351.455   	274.949	2.5  	5.3           	0.0  	52.7     	161     	3      	1.215725
50                      	968.8	4.5                     	87                        	0.1  	237                	-119.284942	47.612048    	487    	487         	351.447   	274.956	2.5  	5.3           	0.0  	51.1     	159     	3      	1.215757
51                      	968.8	4.5                     	87                        	0.1  	238                	-119.284941	47.612048    	487    	487         	351.455   	274.964	2.5  	5.3           	0.0  	50.9     	157     	3      	1.215789
52                      	968.8	4.5                     	87                        	0.1  	239                	-119.284940	47.612048    	487    	487         	351.462   	274.972	2.5  	5.3           	0.0  	50.6     	155     	3      	1.215821
53                      	968.8	4.5                     	87                        	0.1  	240                	-119.284940	47.612048    	487    	487         	351.455   	274.980	2.5  	5.3           	0.0  	48.9     	154     	3      	1.215853
54                      	968.8	4.5                     	87                        	0.1  	241                	-119.284939	47.612048    	487    	487         	351.462   	274.988	2.5  	5.3           	0.0  	48.5     	152     	3      	1.215885
55                      	968.8	4.5                     	87                        	0.1  	242                	-119.284938	47.612048    	487    	487         	351.470   	274.996	2.5  	5.3           	0.0  	48.2     	150     	3      	1.215917
56                      	968.8	4.5                     	87                        	0.1  	243                	-119.284938	47.612048    	487    	487         	351.478   	275.003	2.5  	5.3           	0.0  	47.8     	149     	3      	1.215949
57                      	968.8	4.5                     	87                        	0.1  	244                	-119.284937	47.612048    	487    	487         	351.470   	275.011	2.4  	5.2           	0.0  	45.9     	147     	3      	1.215981
58                      	968.8	4.5                     	87                        	0.1  	245                	-119.284936	47.612048    	487    	487         	351.478   	275.019	2.4  	5.2           	0.0  	45.5     	146     	3      	1.216013
59                      	968.8	4.4                     	87                        	0.1  	246                	-119.284936	47.612048    	487    	487         	351.486   	275.027	2.4  	5.2           	0.0  	45.1     	144     	3      	1.216045
60                      	968.8	4.4                     	87                        	0.1  	247                	-119.284935	47.612048    	487    	487         	351.476   	275.033	2.4  	5.2           	0.0  	43.0     	143     	3      	1.216071
61                      	968.8	4.4                     	87                        	0.1  	248                	-119.284934	47.612048    	487    	487         	351.479   	275.036	2.4  	5.2           	0.0  	42.6     	142     	3      	1.216085
62                      	968.8	4.4                     	87                        	0.1  	249                	-119.284933	47.612048    	487    	487         	351.482   	275.039	2.4  	5.2           	0.0  	42.2     	140     	3      	1.216099
63                      	968.8	4.4                     	87                        	0.1  	250                	-119.284933	47.612048    	487    	487         	351.485   	275.042	2.4  	5.2           	0.0  	41.7     	139     	3      	1.216113
64                      	968.8	4.4                     	87                        	0.1  	251                	-119.284932	47.612048    	487    	487         	351.472   	275.045	2.4  	5.2           	0.0  	39.5     	138     	3      	1.216127
65                      	968.8	4.4                     	87                        	0.0  	252                	-119.284931	47.612048    	487    	487         	351.475   	275.048	2.4  	5.2           	0.0  	39.1     	137     	3      	1.216141
66                      	968.9	4.4                     	87                        	0.0  	253                	-119.284931	47.612048    	487    	487         	351.478   	275.051	2.4  	5.2           	0.0  	38.6     	135     	3      	1.216155
67                      	968.9	4.4                     	87                        	0.0  	254                	-119.284930	47.612048    	487    	487         	351.465   	275.054	2.4  	5.2           	0.0  	36.4     	134     	3      	1.216169
68                      	968.9	4.4                     	87                        	0.0  	256                	-119.284929	47.612048    	487    	487         	351.468   	275.057	2.4  	5.2           	0.0  	36.0     	133     	3      	1.216182
69                      	968.9	4.4                     	87                        	0.0  	257                	-119.284929	47.612048    	487    	487         	351.471   	275.059	2.4  	5.2           	0.0  	35.5     	132     	3      	1.216196
70                      	968.9	4.4                     	87                        	0.0  	258                	-119.284928	47.612049    	487    	487         	351.474   	275.062	2.4  	5.2           	0.0  	35.0     	131     	3      	1.216210
71                      	968.9	4.4                     	87                        	0.0  	260                	-119.284927	47.612049    	487    	487         	351.462   	275.065	2.4  	5.2           	0.0  	32.8     	130     	3      	1.216224
72                      	968.9	4.4                     	87                        	0.0  	262                	-119.284927	47.612049    	487    	487         	351.464   	275.068	2.4  	5.2           	0.0  	32.4     	129     	3      	1.216238
73                      	968.9	4.4                     	87                        	0.0  	264                	-119.284926	47.612049    	487    	487         	351.467   	275.071	2.4  	5.2           	0.0  	31.9     	128     	3      	1.216252
74                      	968.9	4.4                     	87                        	0.0  	266                	-119.284925	47.612049    	487    	487         	351.467   	275.071	2.4  	5.2           	0.0  	31.5     	127     	3      	1.216245
75                      	968.9	4.4                     	87                        	0.0  	268                	-119.284925	47.612049    	487    	487         	351.451   	275.070	2.4  	5.2           	0.0  	29.2     	127     	3      	1.216236
76                      	968.9	4.4                     	87                        	0.0  	271                	-119.284925	47.612049    	487    	487         	351.450   	275.070	2.4  	5.2           	0.0  	29.3     	127     	3      	1.216227
77                      	968.9	4.4                     	87                        	0.0  	273                	-119.284925	47.612048    	487    	487         	351.450   	275.069	2.4  	5.2           	0.0  	29.4     	128     	3      	1.216218
78                      	968.9	4.4                     	87                        	0.0  	276                	-119.284925	47.612048    	486    	487         	351.434   	275.069	2.4  	5.2           	0.0  	27.5     	128     	3      	1.216209
79                      	968.9	4.4                     	87                        	0.0  	280                	-119.284925	47.612048    	486    	487         	351.433   	275.068	2.4  	5.2           	0.0  	27.5     	129     	3      	1.216201
80                      	968.9	4.4                     	87                        	0.0  	283                	-119.284926	47.612048    	486    	486         	351.433   	275.068	2.5  	5.2           	0.0  	27.6     	129     	3      	1.216192
81                      	968.9	4.4                     	87                        	0.0  	287                	-119.284926	47.612048    	486    	486         	351.432   	275.068	2.5  	5.2           	0.0  	27.6     	130     	3      	1.216183
82                      	968.9	4.4                     	87                        	0.0  	291                	-119.284926	47.612048    	486    	486         	351.416   	275.067	2.5  	5.2           	0.0  	25.7     	130     	3      	1.216174
83                      	968.9	4.4                     	87                        	0.0  	296                	-119.284926	47.612048    	486    	486         	351.416   	275.067	2.5  	5.2           	0.0  	25.7     	131     	3      	1.216165
84                      	968.9	4.4                     	87                        	0.0  	301                	-119.284927	47.612048    	486    	486         	351.415   	275.066	2.5  	5.2           	0.0  	25.8     	131     	3      	1.216156
85                      	968.9	4.4                     	87                        	0.0  	305                	-119.284927	47.612047    	486    	486         	351.399   	275.066	2.5  	5.2           	0.0  	23.8     	132     	3      	1.216147
86                      	968.9	4.5                     	87                        	0.0  	311                	-119.284927	47.612047    	486    	486         	351.399   	275.065	2.5  	5.2           	0.0  	23.8     	132     	3      	1.216139
87                      	968.9	4.5                     	87                        	0.0  	316                	-119.284927	47.612047    	486    	486         	351.401   	275.067	2.5  	5.2           	0.0  	23.8     	133     	2      	1.216144
88                      	968.9	4.4                     	87                        	0.0  	321                	-119.284927	47.612047    	486    	486         	351.403   	275.070	2.5  	5.2           	0.0  	23.8     	133     	2      	1.216163
89                      	968.9	4.4                     	87                        	0.0  	326                	-119.284928	47.612047    	486    	486         	351.390   	275.073	2.5  	5.2           	0.0  	21.7     	134     	2      	1.216182
90                      	968.9	4.4                     	87                        	0.0  	331                	-119.284928	47.612047    	486    	486         	351.393   	275.075	2.5  	5.2           	0.0  	21.8     	135     	2      	1.216201
91                      	968.9	4.4                     	87                        	0.0  	330                	-119.284928	47.612047    	486    	486         	351.396   	275.078	2.5  	5.2           	0.0  	21.8     	135     	2      	1.216221
92                      	968.9	4.4                     	87                        	0.0  	329                	-119.284928	47.612047    	486    	486         	351.383   	275.081	2.5  	5.2           	0.0  	19.6     	136     	2      	1.216240
93                      	968.9	4.4                     	87                        	0.0  	328                	-119.284929	47.612047    	486    	486         	351.385   	275.083	2.5  	5.2           	0.0  	19.6     	136     	2      	1.216259
94                      	968.9	4.4                     	87                        	0.0  	327                	-119.284929	47.612046    	486    	486         	351.388   	275.086	2.4  	5.2           	0.0  	19.6     	137     	2      	1.216278
95                      	968.9	4.4                     	87                        	0.0  	327                	-119.284929	47.612046    	486    	486         	351.391   	275.089	2.4  	5.2           	0.0  	19.6     	137     	2      	1.216298
96                      	969.0	4.4                     	87                        	0.0  	326                	-119.284929	47.612046    	486    	486         	351.377   	275.091	2.4  	5.2           	0.0  	17.4     	138     	2      	1.216317
97                      	969.0	4.4                     	87                        	0.0  	326                	-119.284929	47.612046    	486    	486         	351.380   	275.094	2.4  	5.2           	0.0  	17.4     	138     	2      	1.216336
98                      	969.0	4.4                     	87                        	0.0  	325                	-119.284930	47.612046    	486    	486         	351.383   	275.096	2.4  	5.2           	0.0  	17.4     	139     	2      	1.216355
99                      	969.0	4.4                     	87                        	0.0  	325                	-119.284930	47.612046    	486    	486         	351.370   	275.099	2.4  	5.2           	0.0  	15.1     	139     	2      	1.216374
100                     	969.0	4.4                     	87                        	0.0  	325                	-119.284930	47.612046    	486    	486         	351.371   	275.101	2.4  	5.2           	0.0  	15.1     	140     	2      	1.216389
101                     	969.0	4.4                     	87                        	0.0  	325                	-119.284930	47.612046    	486    	486         	351.369   	275.098	2.4  	5.2           	0.0  	15.1     	141     	2      	1.216379
102                     	969.0	4.4                     	87                        	0.0  	324                	-119.284931	47.612045    	486    	486         	351.366   	275.095	2.4  	5.2           	0.0  	15.1     	141     	2      	1.216370
103                     	969.0	4.4                     	87                        	0.0  	324                	-119.284931	47.612045    	486    	486         	351.347   	275.092	2.4  	5.2           	0.0  	12.7     	142     	2      	1.216359
104                     	969.0	4.4                     	87                        	0.1  	324                	-119.284931	47.612045    	486    	486         	351.344   	275.089	2.4  	5.2           	0.0  	12.7     	142     	2      	1.216348
105                     	969.0	4.4                     	87                        	0.1  	324                	-119.284931	47.612045    	486    	486         	351.341   	275.086	2.4  	5.2           	0.0  	12.7     	143     	2      	1.216337
106                     	969.0	4.4                     	87                        	0.1  	323                	-119.284931	47.612045    	486    	486         	351.323   	275.083	2.4  	5.2           	0.0  	10.3     	143     	2      	1.216326
107                     	969.0	4.4                     	87                        	0.1  	323                	-119.284932	47.612045    	486    	486         	351.320   	275.081	2.4  	5.2           	0.0  	10.4     	143     	2      	1.216315
108                     	969.0	4.4                     	87                        	0.1  	323                	-119.284932	47.612045    	486    	486         	351.332   	275.078	2.4  	5.2           	0.0  	12.9     	143     	2      	1.216304
109                     	969.0	4.4                     	87                        	0.1  	323                	-119.284932	47.612045    	486    	486         	351.328   	275.073	2.4  	5.2           	0.0  	13.0     	143     	2      	1.216288
110                     	969.0	4.4                     	87                        	0.1  	323                	-119.284932	47.612046    	486    	486         	351.324   	275.069	2.4  	5.2           	0.0  	13.1     	143     	2      	1.216272
111                     	969.0	4.4                     	87                        	0.1  	323                	-119.284932	47.612046    	486    	486         	351.320   	275.065	2.4  	5.2           	0.0  	13.3     	143     	2      	1.216256
112                     	969.0	4.4                     	87                        	0.1  	322                	-119.284932	47.612046    	486    	486         	351.316   	275.061	2.4  	5.2           	0.0  	13.4     	143     	2      	1.216240
113                     	969.0	4.4                     	87                        	0.1  	322                	-119.284933	47.612046    	486    	486         	351.328   	275.057	2.4  	5.2           	0.0  	16.0     	143     	2      	1.216224
114                     	969.0	4.4                     	87                        	0.1  	321                	-119.284933	47.612046    	486    	486         	351.326   	275.055	2.4  	5.2           	0.0  	16.2     	143     	2      	1.216215
115                     	969.0	4.5                     	87                        	0.1  	320                	-119.284933	47.612046    	486    	486         	351.327   	275.056	2.4  	5.2           	0.0  	16.3     	143     	2      	1.216209
116                     	969.0	4.5                     	87                        	0.1  	318                	-119.284933	47.612046    	486    	486         	351.327   	275.056	2.4  	5.2           	0.0  	16.4     	143     	2      	1.216203
117                     	969.0	4.5                     	87                        	0.1  	311                	-119.284933	47.612047    	486    	486         	351.327   	275.057	2.4  	5.2           	0.0  	16.6     	143     	2      	1.216197
118                     	969.0	4.5                     	87                        	0.1  	223                	-119.284933	47.612047    	486    	486         	351.328   	275.057	2.4  	5.2           	0.0  	16.7     	143     	2      	1.216191
119                     	969.0	4.5                     	87                        	0.1  	156                	-119.284933	47.612047    	486    	486         	351.344   	275.058	2.4  	5.2           	0.0  	19.5     	143     	2      	1.216185
120                     	969.0	4.5                     	87                        	0.1  	151                	-119.284934	47.612047    	486    	486         	351.344   	275.058	2.5  	5.2           	0.0  	19.6     	143     	2      	1.216178
121                     	969.0	4.5                     	87                        	0.1  	149                	-119.284934	47.612047    	486    	486         	351.345   	275.059	2.5  	5.2           	0.0  	19.8     	143     	2      	1.216172
122                     	969.0	4.5                     	87                        	0.1  	148                	-119.284934	47.612047    	486    	486         	351.345   	275.059	2.5  	5.2           	0.0  	20.0     	143     	2      	1.216166
123                     	969.0	4.5                     	87                        	0.1  	147                	-119.284934	47.612047    	486    	486         	351.346   	275.059	2.5  	5.2           	0.0  	20.2     	143     	2      	1.216160
124                     	968.9	4.5                     	87                        	0.1  	147                	-119.284934	47.612048    	486    	486         	351.362   	275.060	2.5  	5.2           	0.0  	22.9     	143     	2      	1.216154
125                     	968.9	4.5                     	87                        	0.1  	146                	-119.284934	47.612048    	486    	486         	351.362   	275.060	2.5  	5.2           	0.0  	23.1     	143     	2      	1.216148
126                     	968.9	4.5                     	87                        	0.1  	146                	-119.284934	47.612048    	486    	486         	351.363   	275.061	2.5  	5.3           	0.0  	23.3     	143     	2      	1.216142
127                     	968.9	4.5                     	87                        	0.1  	146                	-119.284935	47.612048    	486    	486         	351.363   	275.061	2.5  	5.3           	0.0  	23.6     	143     	2      	1.216135
128                     	968.9	4.5                     	87                        	0.1  	146                	-119.284935	47.612048    	486    	486         	351.361   	275.059	2.5  	5.3           	0.0  	23.8     	143     	2      	1.216120
129                     	968.9	4.5                     	87                        	0.1  	146                	-119.284935	47.612048    	486    	486         	351.360   	275.058	2.5  	5.3           	0.0  	24.0     	143     	2      	1.216106
130                     	968.9	4.5                     	87                        	0.1  	145                	-119.284935	47.612048    	486    	486         	351.374   	275.056	2.5  	5.3           	0.0  	26.8     	143     	2      	1.216092
131                     	968.9	4.5                     	87                        	0.1  	145                	-119.284935	47.612048    	486    	486         	351.373   	275.055	2.5  	5.3           	0.0  	27.1     	143     	2      	1.216078
132                     	968.9	4.5                     	87                        	0.1  	145                	-119.284935	47.612049    	486    	486         	351.371   	275.053	2.5  	5.3           	0.0  	27.3     	143     	2      	1.216064
133                     	968.9	4.5                     	87                        	0.1  	144                	-119.284935	47.612049    	486    	486         	351.370   	275.052	2.6  	5.3           	0.0  	27.6     	143     	2      	1.216050
134                     	968.9	4.5                     	87                        	0.1  	144                	-119.284936	47.612049    	486    	486         	351.368   	275.051	2.6  	5.3           	0.0  	27.8     	143     	2      	1.216036
135                     	968.9	4.5                     	87                        	0.1  	143                	-119.284936	47.612049    	486    	486         	351.382   	275.049	2.6  	5.3           	0.0  	30.6     	143     	2      	1.216022
136                     	968.9	4.5                     	87                        	0.1  	143                	-119.284936	47.612049    	486    	486         	351.381   	275.048	2.6  	5.3           	0.0  	30.4     	144     	2      	1.216008
137                     	968.9	4.5                     	87                        	0.1  	142                	-119.284936	47.612048    	486    	486         	351.379   	275.046	2.6  	5.3           	0.0  	29.7     	146     	2      	1.215993
138                     	968.9	4.5                     	87                        	0.1  	141                	-119.284937	47.612047    	486    	486         	351.378   	275.045	2.6  	5.3           	0.0  	29.0     	149     	2      	1.215979
139                     	968.9	4.5                     	87                        	0.1  	140                	-119.284937	47.612047    	486    	486         	351.377   	275.043	2.6  	5.3           	0.0  	28.2     	151     	2      	1.215965
140                     	968.9	4.5                     	88                        	0.1  	138                	-119.284938	47.612046    	486    	486         	351.375   	275.042	2.6  	5.3           	0.0  	27.5     	153     	2      	1.215951
141                     	968.9	4.5                     	88                        	0.1  	136                	-119.284938	47.612045    	486    	486         	351.392   	275.043	2.6  	5.3           	0.0  	29.0     	155     	2      	1.215953
142                     	968.9	4.5                     	88                        	0.0  	134                	-119.284939	47.612044    	486    	486         	351.393   	275.044	2.6  	5.3           	0.0  	28.3     	156     	2      	1.215960
143                     	968.9	4.5                     	88                        	0.0  	130                	-119.284939	47.612043    	486    	486         	351.395   	275.046	2.6  	5.3           	0.0  	27.5     	158     	2      	1.215967
144                     	968.9	4.5                     	88                        	0.0  	124                	-119.284939	47.612043    	486    	486         	351.396   	275.047	2.6  	5.3           	0.0  	26.8     	160     	2      	1.215974
145                     	968.9	4.5                     	88                        	0.0  	115                	-119.284940	47.612042    	486    	486         	351.398   	275.048	2.6  	5.3           	0.0  	26.1     	161     	3      	1.215981
146                     	968.9	4.5                     	88                        	0.0  	097                	-119.284940	47.612041    	486    	486         	351.415   	275.050	2.6  	5.3           	0.0  	27.4     	162     	3      	1.215987
147                     	968.9	4.5                     	88                        	0.0  	066                	-119.284941	47.612040    	486    	486         	351.416   	275.051	2.6  	5.3           	0.0  	26.7     	164     	3      	1.215994
148                     	968.9	4.5                     	88                        	0.0  	032                	-119.284941	47.612040    	486    	486         	351.418   	275.053	2.6  	5.3           	0.0  	26.0     	165     	3      	1.216001
149                     	968.9	4.5                     	88                        	0.0  	011                	-119.284941	47.612039    	486    	487         	351.419   	275.054	2.6  	5.3           	0.0  	25.4     	166     	3      	1.216008
150                     	968.9	4.5                     	87                        	0.0  	359                	-119.284942	47.612038    	486    	487         	351.420   	275.056	2.6  	5.3           	0.0  	24.8     	167     	3      	1.216015
151                     	968.9	4.5                     	87                        	0.0  	360                	-119.284942	47.612037    	486    	487         	351.422   	275.057	2.6  	5.3           	0.0  	24.1     	168     	3      	1.216022
152                     	968.9	4.5                     	87                        	0.0  	360                	-119.284943	47.612037    	487    	487         	351.439   	275.058	2.6  	5.3           	0.0  	25.3     	169     	3      	1.216029
153                     	968.9	4.5                     	87                        	0.0  	360                	-119.284943	47.612036    	487    	487         	351.440   	275.060	2.6  	5.3           	0.0  	24.7     	170     	3      	1.216036
154                     	968.9	4.5                     	87                        	0.1  	360                	-119.284943	47.612035    	487    	487         	351.440   	275.060	2.6  	5.3           	0.0  	24.1     	171     	3      	1.216037
155                     	968.9	4.5                     	87                        	0.1  	001                	-119.284944	47.612034    	487    	487         	351.437   	275.056	2.6  	5.3           	0.0  	23.5     	172     	3      	1.216023
156                     	968.9	4.5                     	87                        	0.1  	001                	-119.284944	47.612034    	487    	487         	351.433   	275.053	2.6  	5.3           	0.0  	23.0     	173     	3      	1.216010
157                     	968.9	4.5                     	87                        	0.1  	001                	-119.284945	47.612033    	487    	487         	351.445   	275.049	2.6  	5.3           	0.0  	24.0     	173     	3      	1.215996
